video_id,Comment_text,duration,publishedAt,channelId,title,description,thumbnails.default.url,thumbnails.default.width,thumbnails.default.height,thumbnails.medium.url,thumbnails.medium.width,thumbnails.medium.height,thumbnails.high.url,thumbnails.high.width,thumbnails.high.height,channelTitle,liveBroadcastContent,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,month,year
igJmBJxH2CE,"umber 20 is fake
That trick doesn't make sense
Captain disillusion already de-bunked it
You are my favourite youtuber!
How did you made the water stable please explain in detail
Trying all of these as I type this!
The invisible I did not see it
That's my weekend sorted

Where’s the trick shots
I’d bet he won’t pin me
I love your science experiments so much
Its fake lol
a
The first one is fake. you can't actually do that. Captain dissolution actually debunked the first trick so go check out that video.
This channel is not really doing that well
2d
First ones fake
20 is fake
Yay

Hi",11.25,2019-02-08,UCckDzKIPNKfSZYb647SQRwQ,20 awesome science experiments kids can do at home,20 AWESOME SCIENCE EXPERIMENTS KIDS CAN DO AT HOME! Subscribe to our channel for more top 10 videos & watch our other videos below! 100 Life ...,https://i.ytimg.com/vi/igJmBJxH2CE/default.jpg,120,90,https://i.ytimg.com/vi/igJmBJxH2CE/mqdefault.jpg,320,180,https://i.ytimg.com/vi/igJmBJxH2CE/hqdefault.jpg,480,360,Spacebound,none,64601,585,83,0,32,2,2019
-wxCxGmfEF8,NaN,66.36,2019-11-06,UCuq7Yiy6S0lfrI-A-nsvzNw,2019 11 05 20 29 week 2 behavioral science live lecture,,https://i.ytimg.com/vi/-wxCxGmfEF8/default.jpg,120,90,https://i.ytimg.com/vi/-wxCxGmfEF8/mqdefault.jpg,320,180,https://i.ytimg.com/vi/-wxCxGmfEF8/hqdefault.jpg,480,360,Michelle Fynan,none,126,0,0,0,0,11,2019
I-tzCDRwbtg,NaN,122.28,2019-07-03,UCv17R5VZDLw8m4QRWUjeP_g,science amp technology 10 20 17,,https://i.ytimg.com/vi/I-tzCDRwbtg/default.jpg,120,90,https://i.ytimg.com/vi/I-tzCDRwbtg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/I-tzCDRwbtg/hqdefault.jpg,480,360,Georgia House of Representatives,none,3,NA,NA,0,NA,7,2019
epQ2TJFHcWc,NaN,2.15,2019-02-05,UCWSgiqBpF-5iESZhSrosPzA,stanmore college science technology engineering amp maths departments showreel,"Interested in enrolling at Stanmore College? Watch what our current students like about the Science, Technology, Engineering & Maths Departments. Find out ...",https://i.ytimg.com/vi/epQ2TJFHcWc/default.jpg,120,90,https://i.ytimg.com/vi/epQ2TJFHcWc/mqdefault.jpg,320,180,https://i.ytimg.com/vi/epQ2TJFHcWc/hqdefault.jpg,480,360,Stanmore College,none,768,4,1,0,0,2,2019
s3lw1w9lk4Q,NaN,3.52,2019-09-07,UCDeHtICo40borhJgWLlQ0bQ,pabna science and technology university admission 2019 20 nahid24,<U+0986><U+09AC><U+09C7><U+09A6><U+09A8><U+09C7><U+09B0> <U+09B8><U+09AE><U+09AF><U+09BC> : <U+09E7><U+09EB> <U+09B8><U+09C7><U+09AA><U+09CD><U+099F><U+09C7><U+09AE><U+09CD><U+09AC><U+09B0> <U+09A5><U+09C7><U+0995><U+09C7> <U+09E7><U+09E6> <U+0985><U+0995><U+09CD><U+099F><U+09CB><U+09AC><U+09B0><U+0964> <U+09AD><U+09B0><U+09CD><U+09A4><U+09BF> <U+09AA><U+09B0><U+09C0><U+0995><U+09CD><U+09B7><U+09BE> <U+09E7><U+09EB><U+0987> <U+09A8><U+09AD><U+09C7><U+09AE><U+09CD><U+09AC><U+09B0> <U+0964>...,https://i.ytimg.com/vi/s3lw1w9lk4Q/default.jpg,120,90,https://i.ytimg.com/vi/s3lw1w9lk4Q/mqdefault.jpg,320,180,https://i.ytimg.com/vi/s3lw1w9lk4Q/hqdefault.jpg,480,360,Nahid24,none,4430,128,0,0,38,9,2019
WK5cgoq_6l0,NaN,13.39,2019-09-23,UCRdmQECNkC7eCEoOT-5nYOg,this week september 16 to 20 2019 gaming technology and science news,"Videogame releases across platforms as well as gaming news in general, Technology news, and Science! Enjoy, cya next week! Sources: ...",https://i.ytimg.com/vi/WK5cgoq_6l0/default.jpg,120,90,https://i.ytimg.com/vi/WK5cgoq_6l0/mqdefault.jpg,320,180,https://i.ytimg.com/vi/WK5cgoq_6l0/hqdefault.jpg,480,360,T3h K1tt3h,none,11,2,0,0,0,9,2019
Q_kuKoBSBZg,NaN,5.13,2019-12-20,UCOWt4O7NxJ4QARqYbPLmwPQ,science city celebrates 20 years,,https://i.ytimg.com/vi/Q_kuKoBSBZg/default.jpg,120,90,https://i.ytimg.com/vi/Q_kuKoBSBZg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/Q_kuKoBSBZg/hqdefault.jpg,480,360,UnionStationKC,none,41,1,0,0,NA,12,2019
PvInWsGrNrw,"The best ever lecture for science and technology. Explained each and every concept in such a nice manner. Team Synopsis is great, and you are the best sir ???
Thank you very much sir... Hats off you sir... 
You are so good sir & youare very calculative sir....aap mere jaise students ko plz SCIENCE AND TECHNOLOGY  pura padha dijiye sir.... Aapka bahut ????? ?????? ?? ??
?????? ?????? ? how cute way to explain.
Sir will u provide this series at free of cost ? I thought it would be a paid initiative that's I paid for this
Done , thanks  sir
Thanks sir science and tech pura Kara do sir pls YouTube p.thanks a ton sir
thank you so much guruji.
Sir I want to join test series what will be the procedure for jioning
Hello sir!
Sir you are Great . please sir Kuch kijiye csat ke liye
??????? ?????? ?? ??
Hi sir. Thanks for the awesome lecture. Matlab ki your every lecture is worth watching ?.
Sir, some questions:
1. If you don't mind, pleaee tell Why submarines are your first love?  Please reply sir if it is not personal.
Excellent lecture sir
Bhut badhiya maja aa gya sir.
great lecture sir....but sir ek suggestion he ki..lecture ki pdf aap video ke sath hi provide kra dijiye website pr.. taaki hum lecture dekhne ke baad use ek baar revise karke pdh le.....& sir one more thing...website pr expert support wale option me humaari problems submit nahi ho rhi he...isliye mughe yaha likhna pd rha he....thanku??
Sir what's the assignment?
sir video ke saath pdf bhi share kijiye sir
please provide the pdf link for the registered students
Nice! 
Please upload one video for indian monsoon
Very helpful lecture
Superb ? thank u big b
Awesome
Fabulous
",56.57,2019-11-15,UCmAIxR82R7uVggBEAm56zkw,science and technology defense technology part 1 internal security upsc ias 20 20 and 50 50,visit full course at: https://synopsisias.in/ For queries related to the course mail us at synopsisias.in@gmail.com or 9620206040 #Science&Technology.,https://i.ytimg.com/vi/PvInWsGrNrw/default.jpg,120,90,https://i.ytimg.com/vi/PvInWsGrNrw/mqdefault.jpg,320,180,https://i.ytimg.com/vi/PvInWsGrNrw/hqdefault.jpg,480,360,Synopsis IAS - Synacademy,none,2493,119,1,0,32,11,2019
tHIkQRMxP7o,NaN,8.26,2019-12-21,UCRdmQECNkC7eCEoOT-5nYOg,this week december 16 to december 20 2019 gaming technology and science news,"Videogame releases across platforms as well as gaming news in general, Technology news, and Science! Enjoy, cya next week! PS: My thanks to Dracologist ...",https://i.ytimg.com/vi/tHIkQRMxP7o/default.jpg,120,90,https://i.ytimg.com/vi/tHIkQRMxP7o/mqdefault.jpg,320,180,https://i.ytimg.com/vi/tHIkQRMxP7o/hqdefault.jpg,480,360,T3h K1tt3h,none,7,2,0,0,0,12,2019
T-Ku36em8gQ,"Subject wise pass fail asa
vaia...  gopalgonj er frm uthaic..  
gopalgonj e 1 trikh ee xm..
noakhali 2 trikh...
vaia NSTU te safe zone koto.. amar ssc te .. 4.83 and hsc te 3.58.. please answer
Negative mark ki nai?
Result er opor ?? marks?
vai b unite qouta 12..any hope
Architecture ace?
Vaiya koto pale subject pate pari..
Alada vabe pass krte hbe?
how much poin maximam get change of noakhali university
b r c unit e ki vhai calculator use kora jabe?
Vaiya nstu a negative mark koto?
vaiya d unit a science ar jonno seat koto? ar alada vaba pass krta hoba?
WITHOUT CLOTHE. WITHOUT HOUSE. ADAM AND EVE. LIVED SOMEWHERE NEAR SUNDERBAN.
Total not Tottal
Bitch vuo news dei
Vaia results er upore koto mark?
Vaia ami ebar rajshahi University  te form fill up vhul kore felsi.... Ekhn nstu ki better option  hote pare than rajshahi
Safe jone koto d, e r jonno?
D unit 
nstu te negative marking ace naki?

Vaiay  e unit  ki iq test aca…",4.52,2019-09-06,UC4idIhtNqER4nKCYhfM2zCQ,nstu admission 2019 20 noakhali science and technology university admission <U+09A8><U+09CB><U+09AC><U+09BF><U+09AA><U+09CD><U+09B0><U+09AC><U+09BF> <U+098F><U+09A1><U+09AE><U+09BF><U+09B6><U+09A8>,Subscribe my channel- https://bit.ly/2k2cKua ---------------------------------------------------------------- Noakhali science and technology University complete circular ...,https://i.ytimg.com/vi/T-Ku36em8gQ/default.jpg,120,90,https://i.ytimg.com/vi/T-Ku36em8gQ/mqdefault.jpg,320,180,https://i.ytimg.com/vi/T-Ku36em8gQ/hqdefault.jpg,480,360,Tips Talk24,none,9949,141,17,0,40,9,2019
rhe6cW5oPT0,NaN,4.03,2019-04-15,UCylLLrmeftM2ldUxDFZhbFw,chemistree technology inc otcqb chmjf chm cn partners with applied cannabis sciences,Chemistree Technology Inc. US OTCQB: CHMJF is an investment company dedicated to the U.S. and international cannabis sector.,https://i.ytimg.com/vi/rhe6cW5oPT0/default.jpg,120,90,https://i.ytimg.com/vi/rhe6cW5oPT0/mqdefault.jpg,320,180,https://i.ytimg.com/vi/rhe6cW5oPT0/hqdefault.jpg,480,360,ThePublicwire,none,94634,149,0,0,0,4,2019
itHr-V5ucpc,NaN,9.5,2019-12-29,UC24N7CuIUZA5jVfCO4_9I8g,state science fair 2019 20 part2,"Jnnsmee-2019 Ongole,Ap Boga venkatasubbaiah youtube channel.",https://i.ytimg.com/vi/itHr-V5ucpc/default.jpg,120,90,https://i.ytimg.com/vi/itHr-V5ucpc/mqdefault.jpg,320,180,https://i.ytimg.com/vi/itHr-V5ucpc/hqdefault.jpg,480,360,boga venkatasubbaiah,none,666,12,0,0,0,12,2019
gupM3eBeNJQ,"Sir, one doubt world meterological( ulaga vaanilai dhinam) day is March 23 . 
But you have told May 20 ? Please check it sir.. Am sorry if am wrong.
Good compilation nanba
Tanq for this
Facebook digital currency name is Libra.. kindly verify it bro
Bro .. 1st black hole picture pannunathu KATIE BOUMAN .  Black hole-ku name vachavaru thaan LARRY
Very knowledgeable video with more information and good message. Thank u Sir..
Very informative....thanks for ur  message of science and tech....
Sports current affairs podunga
Useless current affairs",17.2,2019-08-20,UCM6YFCUkr820fB-JBnS96Pg,current affairs 2019 20 science amp technology 2019 tnpsc current affairs 2019 tnpsc group 2 4 ssc,currentAffairs_2019 #ScienceTechnology #Discoveries #inventions #tnpsc #ssc #RRB #ws #winshineias Science & Technology 2019 current Affairs in Tamil ...,https://i.ytimg.com/vi/gupM3eBeNJQ/default.jpg,120,90,https://i.ytimg.com/vi/gupM3eBeNJQ/mqdefault.jpg,320,180,https://i.ytimg.com/vi/gupM3eBeNJQ/hqdefault.jpg,480,360,WIN & SHINE IAS,none,3901,111,2,0,20,8,2019
BmzHumQH_Rw,"Shift 2 solve

1st ",1.09,2019-12-02,UCYspFr_rnedbOse_sFGQwjg,hajee danesh science and technology university admission question solution 2019 20,Hstu admission question solution 2019.,https://i.ytimg.com/vi/BmzHumQH_Rw/default.jpg,120,90,https://i.ytimg.com/vi/BmzHumQH_Rw/mqdefault.jpg,320,180,https://i.ytimg.com/vi/BmzHumQH_Rw/hqdefault.jpg,480,360,Oxygen School,none,835,18,5,0,8,12,2019
STCEJUqAcPM, C unit,0.51,2019-12-02,UCYspFr_rnedbOse_sFGQwjg,hajee danesh science and technology university admission question solution 2019 20,Hstu admission question solution 2019.,https://i.ytimg.com/vi/STCEJUqAcPM/default.jpg,120,90,https://i.ytimg.com/vi/STCEJUqAcPM/mqdefault.jpg,320,180,https://i.ytimg.com/vi/STCEJUqAcPM/hqdefault.jpg,480,360,Oxygen School,none,401,6,2,0,2,12,2019
